document_id event_type 
322420827344467756_45285892 non_event
325567791777012788_42077902 non_event
341407535289294289_25255982 non_event
341414006420131071_256700242 sports
343270198401765201_183253522 non_event
343444918114661980_214647252 non_event
347620923614738322_233985812 non_event
348505717454189860_233985812 non_event
352737413657613549_34710852 non_event
353460144557739828_9132002 non_event
357357152128957825_26281502 non_event
357398902339995307_251151472 non_event
357868395071233152_25255982 non_event
359874875774422514_9132002 non_event
361686776565157317_9132002 non_event
361687244498488780_9132002 non_event
361698660504784520_9132002 non_event
362891821477311519_233985812 non_event
363840792799387595_210951702 non_event
365954233892621661_276068602 non_event
367304580214912677_218746372 sports
370025515618332443_6184282 non_event
370217185317964956_9132002 non_event
370918590791568947_276068602 non_event
372452837908090273_53381602 non_event
373258169249078647_210951702 non_event
373928103767510585_53381602 non_event
373937815418477755_210951702 non_event
374267725154383827_288468612 non_event
375733563842841972_44520722 non_event
379940358865457059_296495162 sports
380595570898779548_225675142 non_event
381033902604976053_23992462 non_event
382167040707939363_214839242 non_event
383037371804315441_182746562 non_event
383653136149413351_23992462 non_event
384017147227510083_272787532 non_event
384018471537055064_272787532 non_event
386290726586844979_22628872 sports
388268005303805714_145029632 non_event
388925593322516080_212465762 non_event
389032460206765982_288468612 non_event
389484021926137098_276731602 non_event
389830882378618436_272787532 non_event
392038594787385267_274725742 non_event
392494742167219393_300331402 non_event
392830456473972135_300331402 non_event
392909360301896778_288468612 non_event
393462640722005835_17997002 non_event
393498608764635001_185650432 non_event
393508043527194344_309483232 non_event
395578796996409219_5977412 non_event
396497583111890317_184088032 sports
396870789598296002_24713852 sports
398579672476624876_9537632 other
398580419641549831_9537632 conference
398582756061815872_9537632 other
398759595569204777_216447962 sports
400778010204489067_185650432 non_event
402897628751015540_48985842 sports
403005402493374225_216447962 sports
403621768442213443_319091852 non_event
404289323951990260_214257312 non_event
404484843555585605_212937622 non_event
405946522403753441_216447962 sports
408841821285593021_54545842 non_event
410295745261751299_216447962 sports
410866008552267480_318235662 exhibition
412474836360441700_197905842 non_event
412858955344666512_308282582 non_event
412969211642936872_23992462 non_event
413203599846571504_257614382 non_event
413866904613537673_51164592 non_event
414333079172396823_256569332 sports
414819337121631834_276731602 non_event
415167068026390285_197207512 non_event
415402840323120221_54287422 non_event
415663052217730293_280588152 non_event
415982556301094511_7676402 non_event
417249280744682659_263811212 non_event
419007049025500938_233985812 non_event
419188599980743686_180344022 non_event
421086776210878256_306982682 sports
421337517986461246_290727092 sports
421438318653598915_7676402 non_event
421871076078156944_23992462 non_event
422160731912875888_199014682 non_event
422360180043885801_199014682 non_event
422388596000501642_199014682 non_event
422389306557542293_199014682 non_event
422600500849524734_335710622 non_event
422925526319107818_338783202 non_event
423273413678154816_220182512 concert
423413476804132674_218425382 concert
423740563489523236_266038552 non_event
423753607981872825_233985812 non_event
424029210479804094_335710622 non_event
